model_name,lr,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
studio-ousia/luke-japanese-large-lite,3e-05,13,0.9803307153306133,1.0117710664179986e-05,0.9782608695652174,0.9781845081015911,0.9721837335852859,0.974666386510519
cl-tohoku/bert-large-japanese,3e-05,10,0.9623007426615955,1.3588468351846803e-05,0.9769021739130435,0.9752889944289515,0.9743804670186093,0.9745718695194223
studio-ousia/luke-japanese-large-lite,5e-05,17,0.9716851424735443,0.0019995424410571222,0.9769021739130435,0.9750356067064866,0.972172760983891,0.9733810284873314
cl-tohoku/bert-base-japanese-v3,1e-05,16,0.965857470358343,2.7869671137760516e-05,0.9755434782608695,0.9741442452343865,0.9700223416102411,0.9717839483791343
cl-tohoku/bert-large-japanese,5e-05,16,0.9691338127571516,4.4329594263968906e-06,0.9755434782608695,0.971268708753331,0.9710024409536481,0.9710252631500842
cl-tohoku/bert-base-japanese-v3,3e-05,15,0.9691015887210997,7.329005039418521e-06,0.9728260869565217,0.969695205944551,0.9685780081751972,0.9688998388633822
xlm-roberta-large,1e-05,3,0.9721218673483413,0.0005663783168015273,0.9714673913043478,0.9736291125269076,0.9649464572349067,0.9683345666416806
studio-ousia/mluke-large-lite,5e-05,14,0.9694460346550713,4.861095753174437e-06,0.9728260869565217,0.9725267620345418,0.9655621507784667,0.9682639977822115
bert-base-multilingual-cased,3e-05,17,0.9612447795788788,1.9436233940169863e-05,0.9714673913043478,0.968936588217098,0.9676290961283907,0.96813936933821
cl-tohoku/bert-large-japanese-v2,5e-05,11,0.9715665344423188,4.899185454553884e-05,0.9741847826086957,0.9706415957614758,0.965598929930874,0.9676653237078823
studio-ousia/luke-japanese-base-lite,3e-05,5,0.9648968201786197,0.0001528384366437145,0.970108695652174,0.969090673825161,0.9656991271844912,0.9671426262493132
cl-tohoku/bert-large-japanese-v2,3e-05,10,0.9717731438474253,3.141069622791332e-05,0.9728260869565217,0.9683687407120058,0.9663689795953572,0.9670916798917983
studio-ousia/luke-japanese-base-lite,1e-05,11,0.9708808393837598,0.0007912645359402118,0.970108695652174,0.9689741516058051,0.9645054467781975,0.9663920648129523
xlm-roberta-base,3e-05,15,0.9760026180244464,0.0004802491191936576,0.9714673913043478,0.9671245841194211,0.9658355923326999,0.9663132481207993
studio-ousia/mluke-base-lite,3e-05,17,0.969131791255312,0.0023548831434353538,0.970108695652174,0.9661274433019381,0.9662882959764959,0.9660215446218198
studio-ousia/mluke-base-lite,5e-05,18,0.9681537757423995,0.0033546054492826047,0.96875,0.9648774946140539,0.9647618081883983,0.9646811231870799
