model_name,lr,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
studio-ousia/luke-japanese-large-lite,3e-05,13,0.9803307153306133,1.0117710664179986e-05,0.9782608695652174,0.9781845081015911,0.9721837335852859,0.974666386510519
cl-tohoku/bert-large-japanese,5e-05,16,0.9691338127571516,4.4329594263968906e-06,0.9755434782608695,0.971268708753331,0.9710024409536481,0.9710252631500842
xlm-roberta-large,1e-05,3,0.9721218673483413,0.0005663783168015273,0.9714673913043478,0.9736291125269076,0.9649464572349067,0.9683345666416806
studio-ousia/mluke-large-lite,5e-05,14,0.9694460346550713,4.861095753174437e-06,0.9728260869565217,0.9725267620345418,0.9655621507784667,0.9682639977822115
xlm-roberta-base,3e-05,15,0.9760026180244464,0.0004802491191936576,0.9714673913043478,0.9671245841194211,0.9658355923326999,0.9663132481207993
studio-ousia/mluke-base-lite,3e-05,17,0.969131791255312,0.0023548831434353538,0.970108695652174,0.9661274433019381,0.9662882959764959,0.9660215446218198
studio-ousia/luke-japanese-base-lite,5e-05,13,0.9731860115903948,0.01046712955702906,0.970108695652174,0.9671712874191836,0.9628725028120493,0.9646175059058673
cl-tohoku/bert-base-japanese-v2,5e-05,9,0.9672144444978882,1.587970030453542e-05,0.96875,0.9641995015208553,0.9645619070518967,0.9642857487777206
cl-tohoku/bert-base-japanese-v3,5e-05,13,0.9715090487864061,0.00021241182137442672,0.96875,0.9658555512470703,0.9627886451858235,0.9639172275240635
cl-tohoku/bert-large-japanese-v2,1e-05,5,0.9738005698083073,0.0001132118961085444,0.967391304347826,0.9656746194737741,0.9609654714470326,0.9626031688833093
cl-tohoku/bert-base-japanese,3e-05,6,0.966716985736648,0.0038873838341754417,0.967391304347826,0.9620198298847006,0.9615802535669135,0.9615671825196155
bert-base-multilingual-cased,5e-05,15,0.9620682725123305,1.92398134538013e-05,0.9660326086956522,0.9625054039683284,0.9606018764758684,0.961195554917367
cl-tohoku/bert-base-japanese-char-v3,5e-05,15,0.9654906407904633,0.001314284684865371,0.9633152173913043,0.956945163400538,0.9574516862693796,0.9569830403755406
cl-tohoku/bert-base-japanese-char-v2,3e-05,11,0.9568366619053356,8.497648346035376e-05,0.9605978260869565,0.9561816474467076,0.9526441303255991,0.9539286102000774
cl-tohoku/bert-large-japanese-char-v2,5e-05,16,0.9651988359021085,7.712019040532734e-06,0.9592391304347826,0.9572504445386034,0.9517143433359815,0.9537508210462886
cl-tohoku/bert-base-japanese-whole-word-masking,1e-05,7,0.9666119485671791,0.0011994586852581604,0.9578804347826086,0.9523627260241978,0.9525066751864468,0.9521039782651941
cl-tohoku/bert-base-japanese-char,1e-05,7,0.9577310424962108,0.00023697964523149574,0.9510869565217391,0.9491478786293794,0.938180169213655,0.941705850419144
